requested	status	matched_name	mp_id	alias	note
数字生命卡兹克	ADDED	数字生命卡兹克	MP_WXS_3223096120	Rockhazix	success
AGI Hunt	ADDED	AGI Hunt	MP_WXS_3087832081	AGIHunt	success
卡尔的AI沃茨	ADDED	卡尔的AI沃茨	MP_WXS_3871977637	LearnPrompt4Free	success
赛博禅心	ADDED	赛博禅心	MP_WXS_3934419561	BinaryBodhi	success
AI产品黄叔	ADDED	AI产品黄叔	MP_WXS_2398553439	autojinrong	success
网罗灯下黑	ADDED	网罗灯下黑	MP_WXS_3565037632	wldxh8	success
苍何	ADDED	苍何	MP_WXS_3585152880	cangheya	success
饼干哥哥AGI	ADDED	饼干哥哥AGI	MP_WXS_2394281674	BingGanGeGeData	success
刘聪NLP	ADDED	刘聪NLP	MP_WXS_3891555159	liucongnotes	success
AI产品阿颖	ADDED	AI产品阿颖	MP_WXS_3892772220	ai_aying	success
01Founder	ADDED	01Founder	MP_WXS_3927644787	A-01Founder	success
AI故事计划	ADDED	AI故事计划	MP_WXS_3917501995	AIstory1	success
十字路口Crossing	ADDED	十字路口Crossing	MP_WXS_3010319264	c-r-o-s-s-i-n-g	success
沃垠AI	ADDED	沃垠AI	MP_WXS_3201599457	WoYin-AI	success
阿伦AI学习笔记	ADDED	阿伦AI学习笔记	MP_WXS_3957475902		success
胡说成理	ADDED	胡说成理	MP_WXS_3297021519	hushuochengli	success
云中江树	ADDED	云中江树	MP_WXS_3016599109	LangGPT	success
秋芝2046	ADDED	秋芝2046	MP_WXS_3930567871		success
AI产品银海	ADDED	AI产品银海	MP_WXS_3913528478	Inhai-wiki	success
哥飞	ADDED	哥飞	MP_WXS_2399233620	gefei7	success
探索AGI	ADDED	探索AGI	MP_WXS_3916725964		success
新智元	ADDED	新智元	MP_WXS_3271041950	AI_era	success
量子位	ADDED	量子位	MP_WXS_3236757533	QbitAI	success
APPSO	ADDED	APPSO	MP_WXS_2392024520	appsolution	success
智东西	ADDED	智东西	MP_WXS_3081486433	zhidxcom	success
雷峰网	ADDED	雷峰网	MP_WXS_1368348621	leiphone-sz	success
PaperWeekly	ADDED	PaperWeekly	MP_WXS_3201788143	paperweekly	success
甲子光年	ADDED	甲子光年	MP_WXS_3599245772	jazzyear	success
逛逛GitHub	ADDED	逛逛GitHub	MP_WXS_3516884134	ggGithub	success
开源AI项目落地	ADDED	开源AI项目落地	MP_WXS_3921606804		success
夕小瑶科技说	ADDED	夕小瑶科技说	MP_WXS_3207765945	xixiaoyaoQAQ	success
Datawhale	ADDED	Datawhale	MP_WXS_3226363426	Datawhale	success
极客公园	ADDED	极客公园	MP_WXS_1304308441	geekpark	success
AIGC开放社区	ADDED	AIGC开放社区	MP_WXS_3873892677	AIGCOPEN	success
AI前线	ADDED	AI前线	MP_WXS_3554086560	ai-front	success
AI科技评论	ADDED	AI科技评论	MP_WXS_3098132220	aitechtalk	success
脑极体	ADDED	脑极体	MP_WXS_3515522183	unity007	success
硅星人Pro	ADDED	硅星人Pro	MP_WXS_3926568365	Si-Planet	success
特工宇宙	ADDED	特工宇宙	MP_WXS_3621654047	AgentVerse	success
光子星球	ADDED	光子星球	MP_WXS_3082518302	TMTweb	success
Founder-Park	SKIPPED				no exact match; candidates=Founder Park
CVer	ADDED	CVer	MP_WXS_3516712416	CVerNews	success
Z Potentials	ADDED	Z Potentials	MP_WXS_3285810954	ZPotentials	success
Z Finance	ADDED	Z Finance	MP_WXS_3077513391	zfinancenews	success
晚点LatePost	ADDED	晚点LatePost	MP_WXS_3572959446	postlate	success
InfoQ	ADDED	InfoQ	MP_WXS_2390142780	infoqchina	success
机器之心	EXISTS	机器之心	MP_WXS_3073282833		already subscribed
